Office Code,Office Name,Office Name in Bangla,Office Address,Mobile,Email,is Payment office,Payment office Code
145,"RAO, Shambhugonj, Mymensingh","আহিদ, বিউবো, শম্ভুগঞ্জ, ময়মনসিংহ","Resonal Accounting Office, Shambhugonj, Mymensingh",,,TRUE,145
147,"RAO, Comilla","আহিদ, বিউবো, কুমিল্লা","BPDB, Jangalia, Comilla",,,TRUE,147
148,"RAO, Noakhali","আহিদ, বিউবো, নোয়াখালী","BPDB,Noakhali",,,TRUE,148
149,"RAO, Sylhet","আহিদ, বিউবো, সিলেট","RAO, Sylhet",,,TRUE,149
150,"RAO, Rangpur Power Station","আহিদ, বিউবো, রংপুর","Rao, BPDB, Rangpur",,,TRUE,150
152,"Deputy Director (Accts), RAO, Power Station, Barishal","আহিদ, বিউবো, বরিশাল","Dapdapia, Rupatali, Barishal",,,TRUE,152
154,"RAO, Chittagong Power Station, Raozan","আহিদ, চট্টগ্রাম বিদ্যুৎ কেন্দ্র, বিউবো, চট্টগ্রাম","ROWJAN, CHITTAGONG",,,TRUE,154
156,"RAO, Siddhiganj Power Station","আহিদ, সিদ্ধিরগঞ্জ বিদ্যুৎ কেন্দ্র, বিউবো, সিদ্ধিরগঞ্জ, নারায়নগঞ্জ","SIDDHIRGANJ, Narayangonj",,,TRUE,156
157,"RAO, Ghorashal Power Station","আহিদ, ঘোড়াশাল বিদ্যুৎ কেন্দ্র, বিউবো, পলাশ, নরসিংদী","Palash, Norsingdi",,,TRUE,157
158,"RAO, Shahjibazar Power Station","আহিদ, শাহজিবাজার বিদ্যুৎ কেন্দ্র, বিউবো, শাহজিবাজার","RAO, Shahjibazar, Power Station, Hobiganj, Sylhet",,,TRUE,158
159,"RAO, Shikalbaha Power Station","আহিদ, শিকলবাহা বিদ্যুৎ কেন্দ্র, বিউবো, চট্টগ্রাম","SIKALBAHA, CHITTAGONG",,,TRUE,159
160,"RAO, Kaptai Power Station","আহিদ, কাপ্তাই বিদ্যুৎ কেন্দ্র, বিউবো, কাপ্তাই","Kaptai, Rangamati",,,TRUE,160
161,"RAO, Bheramara Power Station","আহিদ, ভেড়ামারা বিদ্যুৎ কেন্দ্র, বিউবো, কুষ্টিয়া","Beramara, Kustia",,,TRUE,161
162,"RAO, Khulna Power Station","আহিদ, খুলনা বিদ্যুৎ কেন্দ্র, বিউবো, খুলনা","Rao, Khulna, Power Station, BPDB Khulna",,,FALSE,160
163,"RAO, Fenchuganj Power Station","আহিদ, ফেঞ্চুগঞ্জ বিদ্যুৎ কেন্দ্র, বিউবো, সিলেট ","FENCHUGONJ,SYLHET",,,TRUE,163
164,"RAO, Baghabari Power Station","আহিদ, বাঘাবাড়ী বিদ্যুৎ কেন্দ্র, বিউবো, সিরাজগঞ্জ","BAGHABARI, SIRAJGONJ",,,TRUE,164
165,"RAO, Barapukuria Power Station","আহিদ, বড়পুকুরিয়া কয়লা ভিত্তিক তাপ বিদ্যুৎ কেন্দ্র, বিউবো, দিনাজপুর","BARAPUKURIA,DINAJPUR",,,TRUE,165
166,"Office of the Member, Generation","সদস্য (উৎপাদন) এর দপ্তর, বিউবো, ঢাকা","WAPDA Bhaban, Motijheel C/A, (First Floor)",,,FALSE,140
167,"Chief Engineer, Generation","প্রধান প্রকৌশলী (উৎপাদন) এর দপ্তর, বিউবো, ঢাকা","WAPDA Bhaban(2nd Floor), Motijheel C/A, Dhaka-1000",,,FALSE,140
169,Tongi 80 MW Power Station,"টঙ্গী ৮০ মেঃওঃ গ্যাস টারবাইন বিদ্যুৎ কেন্দ্র, বিউবো, টঙ্গী, গাজীপুর","Tongi, Gazipur",,,FALSE,487
170,Shahjibazar 60 MW Power Station,"শাহজিবাজার ৬০ মেঃওঃ বিদ্যুৎ কেন্দ্র, বিউবো, শাহজিবাজার ","Shahjibazar, Hobigonj",,,FALSE,158
171,"Fenchuganj 90 MW CCPS, Unit-1","ফেঞ্চুগঞ্জ ৯০ মেঃওঃ সিসিপিপি বিদ্যুৎ কেন্দ্র, ইউনিট-১, বিউবো, ফেঞ্চুগঞ্জ, সিলেট","Fenchuganj, Sylhet",,,FALSE,163
172,Sylhet 225 MW Combined Cycle Power Station,"সিলেট ২২৫ মেঃওঃ বিদ্যুৎ কেন্দ্র, বিউবো, কুমারগাঁও, সিলেট","Kumargaon, Sylhet",,,FALSE,149
173,"Sylhet 20 MW Power Station,Kumargaon","সিলেট ২০ মেঃওঃ বিদ্যুৎ কেন্দ্র, বিউবো, কুমারগাঁও, সিলেট","Kumargaon, Sylhet",,,FALSE,149
174,Katakhali 50 MW Peaking Power Station,"কাটাখালী ৫০ মেঃওঃ পিকিং বিদ্যুৎ কেন্দ্র, বিউবো, কাটাখালী, রাজশাহী","Katakhali, Rajshahi",,,FALSE,1026
175,Santahar 50 MW Peaking Power Station,"সান্তাহার ৫০ মেঃওঃ পিকিং বিদ্যুৎ কেন্দ্র, বিউবো, সান্তাহার, বগুড়া","Shanataher, College Road, Amdighi, Bogra",,,FALSE,1026
176,Syedpur 20 MW GT Power Station,"সৈয়দপুর ২০ মেঃওঃ বিদ্যুৎ কেন্দ্র, বিউবো, সৈয়দপুর, নিলফামারি","Sayedpur, Nilfamari",,,FALSE,150
177,Office of the  Rangpur Gas Turbine Power Station,"রংপুর ২০ মেঃওঃ বিদ্যুৎ কেন্দ্র, বিউবো, রংপুর",Rangpur,,,FALSE,150
178,Baghabari Power Station,"বাঘাবাড়ী বিদ্যুৎ কেন্দ্র, বিউবো, বাঘবাড়ী, সিরাজগঞ্জ","Baghabari, Sirajgonj",,,FALSE,164
179,Baghabari 50 MW Peaking Power Plant,বাঘাবাড়ী ৫০ মেঃওঃ পিকিং বিদ্যুৎ কেন্দ্র,"Baghabari, Sirajgonj",,,FALSE,164
180,Bheramara 20 MW Power Station," ভেড়ামারা ২০ মেঃওঃ বিদ্যুৎ কেন্দ্র, বিউবো, ভেড়ামারা, কুষ্টিয়া","Bheramara, Kustia",,,FALSE,161
181,Bera 70 MW Power Station,"বেড়া ৭০ মেঃওঃ পিকিং বিদ্যুৎ কেন্দ্র, বিউবো, বেড়া, পাবনা","Bhera, Pabna",,,FALSE,164
184,Bhola Diesel Power Station,"ভোলা ডিজেল বিদ্যুৎ কেন্দ্র, বিউবো, ভোলা",Bhola,,,FALSE,1027
185,Titas(Daudkandi) 50 MW Peaking Power Plant,"তিতাস ৫০ মেঃওঃ পিকিং বিদ্যুৎ কেন্দ্র, বিউবো, কুমিল্লা","Titas, Daudkandi, Comilla",,,FALSE,156
186,Chandpur 150 MW Power Station,"চাঁদপুর ১৫০ মেঃওঃ বিদ্যুৎ কেন্দ্র, বিউবো, চাঁদপুর","Bpdb, Chandpur.]",,,FALSE,568
187,"Chief Engineer, Chittagong Power Station, Rawjan, Chittagong.","প্রধান প্রকৌশলীর দপ্তর, চট্টগ্রাম বিদ্যুৎ কেন্দ্র, রাউজান, চট্টগ্রাম","Rowzan, Chittagong.",,,FALSE,154
188,Hathazari 100 MW Peaking Power Plant,"হাটহাজারি ১০০ মেঃওঃ পিকিং বিদ্যুৎ কেন্দ্র, বিউবো, চট্টগ্রাম","Hathazari, Chittagong",,,FALSE,154
189,Dohazari-Kalias 100 MW Peaking Power Plant,দোহাজারী-কালিয়াইশ ১০০ মেঃওঃ পিকিং বিদ্যুৎ কেন্দ্র,"Dohajari, Chittagong",,,FALSE,159
190,"Kornafuly Hydro Power Station, Kaptai","কর্ণফুলী পানি বিদ্যুৎ কেদ্র, বিউবো, কাপ্তাই","Kaptai, Rangamati.",,,FALSE,160
191,Shikalbaha 60 MW Power Station,"শিকলবাহা ৬০ মেঃওঃ বিদ্যুৎ কেন্দ্র, বিউবো, চট্টগ্রাম","Sikalbaha, Chittagong",,,FALSE,159
192,Shikalbaha 150 MW Peaking Power Station,"শিকলবাহা ১৫০ মেঃওঃ পিকিং বিদ্যুৎ কেন্দ্র, বিউবো, চট্টগ্রাম","Sikalbaha, Chittagong",,,FALSE,159
193,"Chief Engineer, Ghorashal Power Station","প্রধান প্রকৌশলীর দপ্তর, ঘোড়াশাল বিদ্যুৎ কেন্দ্র, বিউবো, পলাশ, নরসিংদী","Palash, Narshingdi.",,,FALSE,157
194,Khulna Power Station,"খুলনা বিদ্যুৎ কেন্দ্র, বিউবো, খালিশপুর, খুলনা","GOALPARA, KHALISHPUR, KHULNA.",,,FALSE,160
195,Gopalganj 100 MW Peaking Power Station,"গোপালগঞ্জ ১০০ মেঃওঃ পিকিং বিদ্যুৎ কেন্দ্র, বিউবো, গোপালগঞ্জ",Gopalgonj.,,,FALSE,160
196,Faridpur 50 MW Peaking Power Station,"ফরিদপুর ৫০ মেঃওঃ পিকিং বিদ্যুৎ কেন্দ্র, বিউবো, ফরিদপুর",Faridpur,,,FALSE,160
197,"Manager(Maintenance), Khulna Power Station",,Khulna Power Station,,,FALSE,162
